sheet,excel_row,source_id,no,season,making,type,project,picture,size_range,qty,material,colour,remarks,season_normalized,making_normalized,type_normalized,project_normalized
SUMMER FLAT,9,SUMMER FLAT::9,7,WINTER,CONVYER,LADIES,CAPRICE,Picture,38,Proto,TPR,Black,,WINTER,CONVEYOR,LADIES,CAPRICE
SUMMER FLAT,10,SUMMER FLAT::10,8,SUMMER,CONVYER,LADIES,8680,Picture,36-41,6,TPR,BLACK+BROWN,,SUMMER,CONVEYOR,LADIES,8680
SUMMER FLAT,11,SUMMER FLAT::11,9,SUMMER,CONVYER,LADIES,8681,Picture,36-41,6,TPR,"""",,SUMMER,CONVEYOR,LADIES,8681
SUMMER FLAT,12,SUMMER FLAT::12,10,SUMMER,CONVYER,LADIES,DRIFT,Picture,36-41,6,TPR,"""",,SUMMER,CONVEYOR,LADIES,DRIFT
SUMMER FLAT,13,SUMMER FLAT::13,11,SUMMER,CONVYER,LADIES,LAVA,Picture,36-41,6,TPR,"""",,SUMMER,CONVEYOR,LADIES,LAVA
SUMMER FLAT,14,SUMMER FLAT::14,12,SUMMER,CONVYER,LADIES,BELGIUM,Picture,36-42,7,TPR,"""",,SUMMER,CONVEYOR,LADIES,BELGIUM
SUMMER FLAT,15,SUMMER FLAT::15,13,SUMMER,CONVYER,LADIES,TOGO,Picture,36-41,6,TPR,"""",,SUMMER,CONVEYOR,LADIES,TOGO
SUMMER FLAT,16,SUMMER FLAT::16,14,SUMMER,CONVYER,LADIES,TROUT,Picture,36-42,7,TPR,"""",,SUMMER,CONVEYOR,LADIES,TROUT
SUMMER FLAT,17,SUMMER FLAT::17,15,SUMMER,CONVYER,LADIES,Renela,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,RENELA
SUMMER FLAT,18,SUMMER FLAT::18,16,SUMMER,CONVYER,LADIES,Vision,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,VISION
SUMMER FLAT,19,SUMMER FLAT::19,17,SUMMER,CONVYER,LADIES,AS-45,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,AS-45
SUMMER FLAT,20,SUMMER FLAT::20,18,SUMMER,CONVYER,LADIES,FLYER,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,FLYER
SUMMER FLAT,21,SUMMER FLAT::21,19,SUMMER,CONVYER,LADIES,Hitler,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,HITLER
SUMMER FLAT,22,SUMMER FLAT::22,20,SUMMER,CONVYER,LADIES,Swift,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,SWIFT
SUMMER FLAT,23,SUMMER FLAT::23,21,SUMMER,CONVYER,LADIES,Scar,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,SCAR
SUMMER FLAT,24,SUMMER FLAT::24,22,SUMMER,CONVYER,LADIES,Eric,.,37/M,.,TPR,.,,SUMMER,CONVEYOR,LADIES,ERIC
